Date,Open,High,Low,Close,Volume,Currency
2019-10-01,8285.0,8486.2,8187.9,8302.7,533951,USD
2019-10-02,8302.7,8374.0,8167.7,8364.1,405856,USD
2019-10-03,8363.6,8391.7,8090.1,8226.9,460968,USD
2019-10-04,8227.6,8233.6,8041.4,8148.1,416918,USD
2019-10-05,8148.0,8185.1,8030.6,8127.3,360918,USD
2019-10-06,8127.3,8145.5,7834.9,7881.9,448803,USD
2019-10-07,7882.6,8293.5,7797.0,8198.6,604735,USD
2019-10-08,8198.5,8323.1,8118.1,8182.9,469041,USD
2019-10-09,8180.1,8655.9,8122.7,8566.7,636432,USD
2019-10-10,8566.8,8638.5,8438.7,8562.3,511456,USD
2019-10-11,8562.2,8751.1,8249.7,8267.8,667863,USD
2019-10-12,8267.6,8394.8,8260.9,8304.4,424015,USD
2019-10-13,8304.3,8450.2,8190.6,8281.5,419866,USD
2019-10-14,8281.3,8374.3,8222.2,8353.3,505024,USD
2019-10-15,8353.4,8400.2,8139.5,8167.2,469728,USD
2019-10-16,8167.1,8185.9,7929.8,8000.4,538922,USD
2019-10-17,8000.4,8118.2,7944.4,8073.3,444952,USD
2019-10-18,8073.3,8116.4,7842.0,7948.5,505794,USD
2019-10-19,7948.3,8060.2,7892.4,7957.3,428832,USD
2019-10-20,7957.4,8288.5,7889.6,8223.4,513908,USD
2019-10-21,8224.1,8315.3,8155.7,8208.2,489399,USD
2019-10-22,8207.4,8289.1,8017.7,8031.4,570392,USD
2019-10-23,8031.0,8055.0,7329.2,7477.0,892081,USD
2019-10-24,7476.8,7501.5,7366.3,7422.7,586486,USD
2019-10-25,7422.8,8697.7,7404.9,8658.3,1177632,USD
2019-10-26,8658.4,10540.0,8061.8,9230.6,1784005,USD
2019-10-27,9230.6,9773.2,9081.0,9529.6,1155038,USD
2019-10-28,9530.1,9866.9,9202.5,9207.2,1039295,USD
2019-10-29,9206.5,9531.3,9125.3,9411.3,918477,USD
2019-10-30,9411.3,9411.3,9018.4,9157.9,789726,USD
2019-10-31,9157.9,9378.9,8959.6,9152.6,798931,USD
2019-11-01,9153.1,9270.4,9057.2,9230.1,689648,USD
2019-11-02,9230.3,9356.7,9201.2,9300.6,570740,USD
2019-11-03,9300.5,9359.1,9095.0,9198.3,536562,USD
2019-11-04,9198.7,9500.4,9134.1,9396.4,681014,USD
2019-11-05,9396.1,9452.7,9193.9,9310.8,653416,USD
2019-11-06,9311.2,9424.6,9262.7,9338.9,578027,USD
2019-11-07,9339.2,9367.0,9130.0,9223.5,603535,USD
2019-11-08,9223.6,9254.8,8722.4,8778.2,791789,USD
2019-11-09,8778.1,8877.5,8746.9,8804.5,512017,USD
2019-11-10,8804.7,9092.9,8763.5,9036.8,581570,USD
2019-11-11,9036.9,9066.4,8649.4,8736.9,601159,USD
2019-11-12,8737.4,8841.2,8615.7,8812.6,575158,USD
2019-11-13,8813.2,8829.7,8721.1,8783.1,454330,USD
2019-11-14,8782.9,8799.8,8615.8,8661.2,515433,USD
2019-11-15,8660.8,8761.8,8437.1,8476.3,653711,USD
2019-11-16,8476.2,8532.8,8450.7,8497.3,471160,USD
2019-11-17,8497.4,8631.7,8413.0,8509.8,531220,USD
2019-11-18,8510.3,8516.3,8110.4,8208.4,692601,USD
2019-11-19,8207.7,8245.6,8032.8,8145.7,654273,USD
2019-11-20,8145.7,8223.0,8074.2,8099.3,607266,USD
2019-11-21,8099.4,8129.6,7519.7,7627.9,891503,USD
2019-11-22,7627.9,7700.9,6818.5,7272.5,1410646,USD
2019-11-23,7271.6,7342.5,7093.7,7324.1,783178,USD
2019-11-24,7325.0,7344.1,6894.9,6924.7,904503,USD
2019-11-25,6924.7,7352.8,6534.8,7115.6,1294715,USD
2019-11-26,7115.5,7329.5,7045.1,7162.8,844271,USD
2019-11-27,7162.8,7636.9,6875.4,7510.6,996486,USD
2019-11-28,7510.6,7639.5,7380.6,7426.7,737580,USD
2019-11-29,7426.6,7825.3,7412.3,7742.7,766707,USD
2019-11-30,7742.7,7787.7,7472.7,7546.6,650602,USD
2019-12-01,7546.5,7546.5,7244.4,7396.4,776998,USD
2019-12-02,7395.9,7433.8,7173.6,7298.2,687783,USD
2019-12-03,7298.1,7389.4,7227.1,7291.8,548767,USD
2019-12-04,7291.9,7702.2,7113.6,7204.4,971746,USD
2019-12-05,7204.6,7476.3,7184.0,7399.2,780777,USD
2019-12-06,7399.2,7552.1,7329.8,7530.8,706100,USD
2019-12-07,7530.4,7595.7,7489.6,7510.9,557138,USD
2019-12-08,7510.8,7576.4,7416.7,7524.4,499043,USD
2019-12-09,7524.8,7626.0,7321.6,7355.8,648663,USD
2019-12-10,7356.2,7400.3,7192.1,7235.7,609497,USD
2019-12-11,7235.8,7284.4,7168.8,7208.0,518395,USD
2019-12-12,7208.0,7272.4,7124.6,7208.0,611798,USD
2019-12-13,7208.4,7288.0,7200.3,7255.2,503490,USD
2019-12-14,7255.2,7267.4,7043.3,7080.8,524558,USD
2019-12-15,7080.8,7175.8,7033.8,7128.5,492582,USD
2019-12-16,7128.5,7153.1,6864.6,6903.5,689558,USD
2019-12-17,6903.5,6943.5,6575.0,6613.3,894548,USD
2019-12-18,6613.5,7387.7,6462.2,7276.0,1137143,USD
2019-12-19,7276.4,7354.0,7039.3,7165.5,778717,USD
2019-12-20,7165.5,7218.4,7107.7,7196.4,627042,USD
2019-12-21,7196.4,7197.6,7129.6,7156.2,468741,USD
2019-12-22,7156.3,7501.1,7142.0,7495.8,677935,USD
2019-12-23,7496.2,7684.0,7276.2,7322.8,952162,USD
2019-12-24,7322.4,7433.2,7185.7,7268.3,785543,USD
2019-12-25,7268.3,7542.4,7150.9,7224.8,625407,USD
2019-12-26,7225.0,7414.3,7177.3,7210.9,795086,USD
2019-12-27,7210.8,7293.8,7128.5,7261.7,718074,USD
2019-12-28,7261.9,7375.9,7256.5,7321.5,610964,USD
2019-12-29,7321.6,7518.9,7303.0,7397.5,611687,USD
2019-12-30,7397.5,7420.9,7244.1,7261.8,606110,USD
2019-12-31,7261.5,7331.0,7167.4,7196.4,586595,USD
2020-01-01,7196.4,7259.4,7180.0,7199.8,420278,USD
2020-01-02,7199.7,7209.6,6901.4,6967.0,632778,USD
2020-01-03,6967.1,7402.9,6884.1,7343.1,936288,USD
2020-01-04,7345.1,7433.1,7291.4,7376.8,523909,USD
2020-01-05,7376.8,7501.0,7345.6,7372.5,628142,USD
2020-01-06,7372.6,7783.1,7366.7,7759.1,786750,USD
2020-01-07,7759.1,8182.0,7754.1,8155.7,1013985,USD
2020-01-08,8154.2,8436.4,7900.8,8059.6,1188887,USD
2020-01-09,8060.0,8065.9,7779.2,7842.4,786500,USD
2020-01-10,7842.5,8187.4,7697.7,8187.1,1049642,USD
2020-01-11,8187.8,8262.9,8008.4,8024.1,776750,USD
2020-01-12,8023.3,8189.9,7973.1,8187.6,595217,USD
2020-01-13,8188.3,8196.7,8068.4,8111.4,610664,USD
2020-01-14,8111.2,8898.7,8111.2,8829.2,1482862,USD
2020-01-15,8827.9,8904.0,8615.5,8818.3,1172542,USD
2020-01-16,8818.1,8850.0,8605.8,8726.9,748321,USD
2020-01-17,8726.7,9005.1,8675.9,8913.1,794106,USD
2020-01-18,8913.0,8982.3,8814.6,8916.3,627743,USD
2020-01-19,8916.3,9183.7,8552.8,8706.2,975005,USD
2020-01-20,8705.7,8740.1,8539.2,8641.9,599057,USD
2020-01-21,8642.0,8770.3,8524.0,8732.6,540202,USD
2020-01-22,8733.0,8805.4,8610.8,8678.5,509057,USD
2020-01-23,8678.5,8687.3,8309.6,8405.1,722670,USD
2020-01-24,8404.9,8522.0,8242.6,8439.9,617019,USD
2020-01-25,8439.9,8447.6,8277.2,8341.6,443997,USD
2020-01-26,8341.6,8607.8,8304.9,8607.8,468343,USD
2020-01-27,8608.1,8983.1,8585.6,8866.6,706451,USD
2020-01-28,8866.6,9389.5,8866.6,9377.3,954201,USD
2020-01-29,9377.3,9428.7,9250.9,9298.9,749884,USD
2020-01-30,9299.1,9569.0,9209.2,9507.3,765205,USD
2020-01-31,9508.3,9525.0,9222.3,9349.1,633368,USD
2020-02-01,9349.3,9458.8,9301.5,9381.6,458416,USD
2020-02-02,9381.5,9465.4,9183.1,9334.9,683370,USD
2020-02-03,9334.6,9582.8,9243.1,9296.6,701391,USD
2020-02-04,9296.5,9347.5,9193.9,9193.9,651675,USD
2020-02-05,9194.1,9726.8,9179.9,9611.8,771456,USD
2020-02-06,9611.8,9854.9,9536.1,9772.0,778674,USD
2020-02-07,9771.9,9872.5,9738.7,9818.6,608959,USD
2020-02-08,9817.3,9931.2,9673.2,9895.5,551308,USD
2020-02-09,9895.4,10157.1,9882.7,10151.5,617351,USD
2020-02-10,10151.5,10181.7,9774.8,9854.1,781219,USD
2020-02-11,9854.0,10314.1,9725.1,10229.5,791277,USD
2020-02-12,10229.3,10435.6,10229.3,10317.7,803245,USD
2020-02-13,10321.9,10482.6,10116.9,10235.1,940303,USD
2020-02-14,10235.5,10372.4,10125.2,10333.0,732507,USD
2020-02-15,10336.0,10369.8,9831.7,9907.7,808811,USD
2020-02-16,9907.4,10056.4,9654.9,9932.3,808907,USD
2020-02-17,9931.7,9951.5,9468.9,9701.4,961876,USD
2020-02-18,9701.5,10230.1,9601.6,10158.4,945907,USD
2020-02-19,10158.6,10230.9,9424.3,9609.4,905945,USD
2020-02-20,9611.9,9681.4,9448.9,9602.4,870803,USD
2020-02-21,9602.2,9747.1,9574.5,9684.5,716605,USD
2020-02-22,9684.5,9706.5,9569.8,9655.7,589876,USD
2020-02-23,9655.6,9965.6,9653.4,9942.7,775884,USD
2020-02-24,9943.2,9981.0,9507.0,9662.7,980004,USD
2020-02-25,9662.6,9672.3,9269.8,9317.2,937965,USD
2020-02-26,9317.1,9368.1,8672.0,8800.3,1323539,USD
2020-02-27,8800.1,8968.3,8538.5,8818.6,1133327,USD
2020-02-28,8820.1,8898.7,8451.9,8697.5,1077381,USD
2020-02-29,8697.1,8793.7,8539.8,8543.7,683436,USD
2020-03-01,8543.8,8737.2,8437.2,8540.0,784049,USD
2020-03-02,8537.5,8961.8,8503.1,8904.8,1021475,USD
2020-03-03,8906.1,8911.7,8669.3,8761.4,1012695,USD
2020-03-04,8761.3,8840.3,8679.7,8757.9,759692,USD
2020-03-05,8757.9,9147.3,8751.5,9060.3,950755,USD
2020-03-06,9060.6,9165.2,9004.9,9134.8,1041101,USD
2020-03-07,9134.2,9180.8,8848.7,8887.8,750651,USD
2020-03-08,8887.8,8888.0,8015.3,8034.1,1110711,USD
2020-03-09,8035.8,8158.8,7648.7,7933.0,1535822,USD
2020-03-10,7933.0,8145.5,7740.2,7891.2,1202442,USD
2020-03-11,7892.1,7976.5,7606.0,7935.1,1102878,USD
2020-03-12,7935.2,7963.1,4546.6,4826.0,3220453,USD
2020-03-13,4815.2,5934.3,3869.5,5584.3,4174720,USD
2020-03-14,5589.4,5634.9,5072.2,5182.7,1694770,USD
2020-03-15,5182.9,5863.3,5120.6,5366.3,1614735,USD
2020-03-16,5366.4,5369.3,4477.7,5030.0,2551734,USD
2020-03-17,5030.2,5432.8,4946.5,5261.1,1888875,USD
2020-03-18,5260.7,5373.1,5020.9,5361.4,1801645,USD
2020-03-19,5359.2,6379.5,5256.0,6172.0,2178982,USD
2020-03-20,6171.6,6858.1,5748.2,6205.3,2218056,USD
2020-03-21,6205.6,6438.3,5887.0,6186.2,1636421,USD
2020-03-22,6186.9,6394.4,5771.2,5822.1,1481709,USD
2020-03-23,5822.0,6564.7,5710.8,6468.9,1884403,USD
2020-03-24,6468.8,6814.2,6380.8,6744.6,1728280,USD
2020-03-25,6744.8,6930.2,6474.6,6678.9,1523907,USD
2020-03-26,6677.9,6772.9,6541.7,6725.1,1181484,USD
2020-03-27,6725.5,6813.7,6322.3,6373.4,1160216,USD
2020-03-28,6373.4,6374.3,6046.5,6233.7,1258262,USD
2020-03-29,6233.2,6258.8,5889.3,5890.4,916167,USD
2020-03-30,5890.4,6576.5,5872.5,6391.0,1427435,USD
2020-03-31,6391.1,6513.1,6346.3,6412.5,1045029,USD
2020-04-01,6412.4,6661.3,6157.4,6638.5,1398824,USD
2020-04-02,6638.8,7182.7,6567.9,6800.5,1738795,USD
2020-04-03,6799.9,7026.3,6623.6,6735.9,1345632,USD
2020-04-04,6735.9,6958.6,6679.1,6857.4,1045281,USD
2020-04-05,6857.5,6889.4,6686.0,6772.7,842329,USD
2020-04-06,6772.8,7335.0,6770.1,7332.3,1526952,USD
2020-04-07,7332.3,7440.3,7101.7,7185.2,1320375,USD
2020-04-08,7185.6,7396.1,7153.1,7361.2,983936,USD
2020-04-09,7361.1,7361.1,7140.3,7289.0,963554,USD
2020-04-10,7289.0,7294.4,6756.1,6863.1,1365829,USD
2020-04-11,6862.7,6931.4,6765.1,6867.8,845584,USD
2020-04-12,6867.9,7158.8,6785.1,6917.6,1100554,USD
2020-04-13,6918.1,6920.3,6618.5,6841.3,1254532,USD
2020-04-14,6841.8,6970.8,6768.6,6850.9,999532,USD
2020-04-15,6851.3,6929.5,6615.9,6629.1,1002547,USD
2020-04-16,6629.1,7159.7,6520.5,7085.6,1540243,USD
2020-04-17,7085.5,7142.8,7005.8,7035.8,810095,USD
2020-04-18,7035.9,7259.4,7031.5,7230.8,796449,USD
2020-04-19,7230.9,7238.0,7079.1,7122.9,5932659,USD
2020-04-20,7122.9,7207.5,6771.2,6833.5,1259887,USD
2020-04-21,6833.4,6919.3,6774.3,6842.5,892572,USD
2020-04-22,6842.5,7137.4,6821.8,7112.9,914184,USD
2020-04-23,7112.8,7655.4,7036.5,7488.5,1336365,USD
2020-04-24,7491.3,7583.5,7423.5,7503.8,951949,USD
2020-04-25,7503.9,7684.6,7451.0,7540.4,861926,USD
2020-04-26,7540.4,7679.4,7520.5,7678.9,921587,USD
2020-04-27,7679.4,7768.5,7637.7,7766.0,980500,USD
2020-04-28,7766.0,7770.1,7655.3,7746.9,808092,USD
2020-04-29,7746.7,8918.5,7729.7,8770.9,1832877,USD
2020-04-30,8770.6,9437.5,8425.5,8629.0,2037760,USD
2020-05-01,8628.6,9040.3,8621.0,8821.6,1105152,USD
2020-05-02,8821.6,8986.2,8771.3,8966.3,890344,USD
2020-05-03,8966.2,9169.9,8742.2,8885.5,1149763,USD
2020-05-04,8885.5,8945.5,8553.2,8874.7,1122155,USD
2020-05-05,8874.2,9078.7,8800.4,9001.0,1051094,USD
2020-05-06,9000.6,9373.7,8923.6,9151.4,1615744,USD
2020-05-07,9152.7,10033.0,9064.8,9979.8,1913557,USD
2020-05-08,9980.1,10018.2,9731.4,9806.2,1424372,USD
2020-05-09,9806.0,9910.5,9533.6,9554.6,1491974,USD
2020-05-10,9553.9,9569.4,8259.3,8738.8,2471747,USD
2020-05-11,8737.6,9129.6,8235.6,8579.8,2294142,USD
2020-05-12,8569.8,8964.5,8542.8,8813.8,1350808,USD
2020-05-13,8813.9,9384.6,8799.1,9298.7,1498877,USD
2020-05-14,9298.7,9887.5,9265.8,9778.4,1773699,USD
2020-05-15,9778.6,9819.6,9223.2,9318.0,1562861,USD
2020-05-16,9318.1,9579.0,9233.0,9379.5,1099612,USD
2020-05-17,9376.6,9866.0,9327.8,9677.7,1184201,USD
2020-05-18,9678.4,9930.2,9524.4,9730.7,1179232,USD
2020-05-19,9730.8,9883.9,9498.7,9773.3,1158028,USD
2020-05-20,9773.0,9829.3,9368.4,9512.3,1152541,USD
2020-05-21,9511.6,9567.1,8833.6,9059.0,1413605,USD
2020-05-22,9058.2,9253.5,8952.1,9169.7,914585,USD
2020-05-23,9169.8,9303.2,9098.9,9177.0,812561,USD
2020-05-24,9177.9,9292.0,8724.1,8728.2,1109273,USD
2020-05-25,8728.0,8959.5,8666.1,8898.2,941885,USD
2020-05-26,8897.7,8994.6,8713.9,8842.5,784921,USD
2020-05-27,8842.3,9210.9,8818.6,9199.1,810887,USD
2020-05-28,9199.8,9610.8,9119.2,9572.2,948855,USD
2020-05-29,9573.4,9596.5,9358.1,9424.8,814327,USD
2020-05-30,9424.8,9729.9,9352.7,9692.5,720622,USD
2020-05-31,9692.9,9695.6,9406.2,9454.8,645267,USD
